BOROUGH	BLOCK	LOT	LAT	LON
2	4759	17	40.871973040425	-73.8469403714649
2	4761	32	40.8722896469849	-73.8456054117337
2	4763	116	40.8726406219945	-73.8433121661218
2	4764	34	40.8719913134272	-73.8421674919902
2	4767	38	40.8702997027135	-73.8415279136052
2	4775	33	40.8711922905385	-73.8379787426507
2	4778	157	40.8749979819466	-73.8371233368649
2	4779	1	40.875454386899	-73.8357409164491
2	4779	65	40.875405193456	-73.8358892928386
2	4785	43	40.86864776258	-73.8398072071057
2	4788	139	40.8689402466383	-73.838945984849
2	4790	43	40.8700773671793	-73.8375692714438
2	4791	33	40.8696311955122	-73.8364856638643
2	4792	28	40.8671434864749	-73.8377138276454
2	4792	29	40.8670913017464	-73.8376886463589
2	4795	34	40.8679721337122	-73.8355966980945
2	4795	142	40.8684555338282	-73.8358305166038
2	4796	124	40.8706646436057	-73.8355683468272
2	4796	147	40.8707008700578	-73.8359515231847
2	4799	137	40.8694840919809	-73.8353362488156
2	4803	7	40.8669058356665	-73.8365755219783
2	4880	22	40.8765313516445	-73.836475926675
2	4881	135	40.8782797830064	-73.8384677293562
2	4881	136	40.8782111152467	-73.838431734939
2	4884	21	40.8792768792965	-73.8410002507891
2	4885	45	40.8785228839264	-73.8395917587553
2	4885	79	40.8799847238924	-73.8407924333982
2	4886	12	40.8803454201712	-73.8396343726825
2	4888	124	40.8799365636659	-73.843710836798
2	4889	14	40.8801607592893	-73.8430702370145
2	4889	20	40.8803700083135	-73.8435507032543
2	4892	19	40.881446124785	-73.8416821600263
2	4892	20	40.881575174542	-73.8417180157954
2	4894	22	40.8821850509351	-73.8401289903044
2	4897	9	40.8802624978077	-73.8452397383379
2	4900	46	40.8821673117756	-73.8493868616646
2	4902	41	40.8829598968163	-73.848904087283
2	4903	23	40.8830519432051	-73.8479346863212
2	4903	69	40.8833426889974	-73.847789365176
2	4916	35	40.8832429555608	-73.8390162120956
2	4922	82	40.884088494892	-73.8352494460083
2	4924	8	NA	NA
2	4924	120	40.8830765314283	-73.8358305760712
2	4924	125	40.8828739335699	-73.8361890978207
2	4924	127	40.882997546943	-73.8362611209449
2	4929	41	40.8885897881488	-73.8451624852018
2	4929	71	40.8885281156638	-73.8462512511212
2	4934	8	40.8888851045689	-73.8443371886611
2	4934	12	40.8886764015099	-73.8442581101049
2	4943	43	40.8863223974825	-73.8331463015319
2	4945	74	40.8891014372874	-73.8341266900961
2	4951	16	40.8880984585667	-73.829557730711
2	4952	55	40.8869387412792	-73.8285733722381
2	4956	30	40.8902014866624	-73.8415347211045
2	4958	45	40.8903519172502	-73.8391689851706
2	4959	18	40.8899584078112	-73.8384393509741
2	4962	19	40.8906354347337	-73.8358480763119
2	4963	13	40.8901480473246	-73.8347425469389
2	4963	20	40.8904665491908	-73.8348249413488
2	4965	134	40.8905892536843	-73.8323615967824
2	4965	135	40.890523391892	-73.8323689964638
2	4965	136	40.8904657641357	-73.8323763753676
2	4965	137	40.8903971524098	-73.8323801651666
2	4969	12	40.8913069002071	-73.8313579229885
2	4969	13	40.8912382938093	-73.831365330707
2	4970	21	40.8905920016744	-73.8304844713438
2	4978	32	40.8916988560939	-73.8467213426849
2	4980	1	40.890235399441	-73.8442689247215
2	4980	33	40.8917896916395	-73.8448620657834
2	4980	97	40.8899498014043	-73.84415747414
2	4981	13	40.8910634076483	-73.8436123399056
2	4985	24	40.8923626141267	-73.8403106758348
2	4987	1	40.8915773277508	-73.8381207501988
2	4987	3	40.8916706924765	-73.8381530745459
